@relation features_processed

@attribute OutterAccess1 numeric
@attribute OutterAccess2 numeric
@attribute OutterAccess3 numeric
@attribute InnerAccess1 numeric
@attribute InnerAccess2 numeric
@attribute InnerAccess3 numeric
@attribute ConstantAccess1 numeric
@attribute ConstantAccess2 numeric
@attribute ConstantAccess3 numeric
@attribute OutterWrite1 numeric
@attribute OutterWrite2 numeric
@attribute OutterWrite3 numeric
@attribute InnerWrite1 numeric
@attribute InnerWrite2 numeric
@attribute InnerWrite3 numeric
@attribute BasicOp1 numeric
@attribute BasicOp2 numeric
@attribute BasicOp3 numeric
@attribute SinOp1 numeric
@attribute SinOp2 numeric
@attribute SinOp3 numeric
@attribute PowOp1 numeric
@attribute PowOp2 numeric
@attribute PowOp3 numeric
@attribute MinOp1 numeric
@attribute MinOp2 numeric
@attribute MinOp3 numeric
@attribute DataTo numeric
@attribute DataFrom numeric
@attribute Op numeric
@attribute CPUTime numeric
@attribute GPUTime numeric
@attribute GPUFaster {0,1}

@data
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,3200,8,3,1758717,17174002,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,3200,8,3,254531,17054729,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3600,3600,0,173553163,48331807,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3600,3600,0,112443395,48186602,1
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3600,3600,0,70169764,48109221,1
0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3600,3600,0,82024808,49742361,1
2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,3600,8,3,906481,18163140,0
2,0,0,9,0,0,1,0,0,2,0,0,0,0,0,18,2,0,0,0,0,3,0,0,1,0,0,3600,8,3,1171251,19900044,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,3600,8,3,273630,17166229,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,3600,8,3,284784,17022637,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4000,4000,0,150632465,48576674,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4000,4000,0,112993054,48280032,1
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4000,4000,0,74514018,48326128,1
0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,4000,4000,0,49046880,49865949,0
2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,4000,8,3,1928431,18258884,0
2,0,0,9,0,0,1,0,0,2,0,0,0,0,0,18,2,0,0,0,0,3,0,0,1,0,0,4000,8,3,1331637,17833563,0
